OBJECT_TYPE;TABLE_CATALOG;TABLE_SCHEMA;OBJECT_NAME;DATA_AREA;OBJECT_TYPE;DESCRIPTION;BUSINESS_OWNER_PERSON;BUSINESS_OWNER_DEPARTMENT;DATA_SME;ACTIVE_FLAG;SQL_SAMPLES
TABLE;MO;dbo;L0001_PERFORMANCE_CALC_LOAD_DATA_400_FINAL;PERFORMANCE;WORK;Anvendes til indlæsning af det daglig RAP flow;;;;1;
TABLE;MO;dbo;L0001_PERFORMANCE_CALC_LOAD_DATA_410_PK50_EXCEPTIONS;PERFORMANCE;WORK;Anvendes til indlæsning af det daglig RAP flow;;;;1;
TABLE;MO;dbo;L0001_PERFORMANCE_CALC_LOAD_DATA_430_CORRECT_AGG_LEVEL_2_BM;PERFORMANCE;WORK;Anvendes til indlæsning af det daglig RAP flow;;;;1;
TABLE;MO;dbo;L0001_PERFORMANCE_CALC_MANUAL_CORRECTION;PERFORMANCE;WORK;Tabel til håndtering af manuelle korrektioner af RAP tal  (Justering på toppen) f.eks afkast på Hedgefonde og Stats- og realkreditobligationer;;;;1;
TABLE;MO;dbo;L0001_PERFORMANCE_CALC_RAP;PERFORMANCE;WORK;Tabel med alle RAP tal.Sluttabel for det daglige flow;;;;1;
VIEW;MO;dbo;L0001_PERFORMANCE_CALC_RAP_V_ALL;PERFORMANCE;PRESENTATION;Udstiller alle versioner af data;SUSANNE ;DVR;MAJKEN;1;
VIEW;MO;dbo;L0001_PERFORMANCE_CALC_RAP_V_ALL_CONTROLLING;PERFORMANCE;WORK;Udstiller de forskellige version af data for en låst periode, Anvendes i month-end processen til at udstille ændringer mellem de forskellige versionsid'er;;;;1;
VIEW;MO;dbo;L0001_PERFORMANCE_CALC_RAP_V_FIXED;PERFORMANCE;PRESENTATION;Udstiller den version af data, som anvendes til månedsrapporter til bestyrelserne;SUSANNE ;DVR;MAJKEN;1;
VIEW;MO;dbo;L0001_PERFORMANCE_CALC_RAP_V_LATEST;PERFORMANCE;PRESENTATION;Udstiller den seneste version af data;SUSANNE ;DVR;MAJKEN;1;L0001_PERFORMANCE_CALC_RAP_V_LATEST.sql
TABLE;MO;dbo;L0001_PERFORMANCE_CALC_REPORTS_CALENDAR;PERFORMANCE;WORK;Håndtering af dato relateret til investeringsstruktur. En dato link til en investeringsstruktur;SUSANNE ;DVR;MAJKEN;1;
